"PP_80_10_35","Contractor operation and maintenance handover ","PP_80_10"
"PP_80_10_45","Final contractor operation and maintenance payment ","PP_80_10"
"PP_80_20","Owner operation and maintenance execution ","PP_80"
"PP_80_20_10","Information gathering ","PP_80_20"
"PP_80_20_15","Information analysis ","PP_80_20"
"PP_80_20_20","Post-occupancy studies ","PP_80_20"
"PP_80_20_30","Operation and maintenance ","PP_80_20"
"PP_80_20_35","Inspection ","PP_80_20"
"PP_80_20_40","Repair ","PP_80_20"
"PP_80_20_45","Renovation and restoration ","PP_80_20"
"PP_80_20_50","Alteration and extension ","PP_80_20"
"PP_80_20_55","Refitting and recommissioning ","PP_80_20"
"PP_80_20_60","Redevelopment ","PP_80_20"
"PP_80_20_65","Soft FM services ","PP_80_20"
"PP_80_20_70","Surveys ","PP_80_20"
"PP_80_20_80","Estimating ","PP_80_20"
"PP_80_20_85","Programming and progressing ","PP_80_20"
"PP_80_20_90","Preparation of closure procurement documentation ","PP_80_20"
"PP_80_30","Owner operation and maintenance verification ","PP_80"
"PP_80_30_10","First party verification ","PP_80_30"
"PP_80_30_20","Second party verification ","PP_80_30"
"PP_80_30_30","Third party verification ","PP_80_30"
"PP_80_40","Owner operation and maintenance payment ","PP_80"
"PP_80_40_10","Payment claim ","PP_80_40"
"PP_80_40_20","Payment ","PP_80_40"
"PP_80_50","Owner operation and maintenance completion ","PP_80"
"PP_80_50_10","Data drop ﾖ owner operation & maintenance records ","PP_80_50"
"PP_80_80","Closure contract selection ","PP_80"
"PP_80_80_10","Procurement route decision ","PP_80_80"
"PP_80_80_20","Contract selection or authoring ","PP_80_80"
"PP_80_90","Closure procurement ","PP_80"
"PP_80_90_10","Candidate identification ","PP_80_90"
"PP_80_90_20","Candidate invitation ","PP_80_90"
"PP_80_90_30","Candidate evaluation ","PP_80_90"
"PP_80_90_40","Candidate appointment ","PP_80_90"
"PP_85","Not allocated ","PP"
"PP_90","Closure phase ","PP"
"PP_90_10","Closure mobilization ","PP_90"
"PP_90_10_10","In-house team establishment ","PP_90_10"
"PP_90_10_15","Subcontract team establishment ","PP_90_10"
"PP_90_10_20","Resources establishment ","PP_90_10"
"PP_90_10_30","Owner operation and maintenance handover ","PP_90_10"
"PP_90_10_40","Final owner operation and maintenance payment ","PP_90_10"
"PP_90_20","Closure execution ","PP_90"
"PP_90_20_10","Information gathering ","PP_90_20"
"PP_90_20_15","Information analysis ","PP_90_20"
"PP_90_20_20","Decanting/ relocation ","PP_90_20"
"PP_90_20_30","Decommissioning ","PP_90_20"
"PP_90_20_40","Deconstruction ","PP_90_20"
"PP_90_20_50","Recycling ","PP_90_20"
"PP_90_20_60","Demolition ","PP_90_20"
"PP_90_30","Closure verification ","PP_90"
"PP_90_30_10","First party verification ","PP_90_30"
"PP_90_30_20","Second party verification ","PP_90_30"
"PP_90_30_30","Third party verification ","PP_90_30"
"PP_90_40","Closure payment ","PP_90"
"PP_90_40_10","Payment claim ","PP_90_40"
"PP_90_40_20","Payment ","PP_90_40"
"PP_90_50","Closure completion ","PP_90"
"PP_90_50_10","Data drop ﾖ archive documents ","PP_90_50"
"PP_95","Post-project phase ","PP"
"PP_95_10","Historical research ","PP_95"
"Pr_15","Preparatory Products","Pr"
"Pr_15_21_13_11","Calcium Chloride","Pr_15_21_13"
"Pr_15_21_13_12","Calcium Magnesium Acetate","Pr_15_21_13"
"Pr_15_21_13_50","Magnesium Chloride","Pr_15_21_13"
"Pr_15_21_13_65","Potassium Acetate","Pr_15_21_13"
"Pr_15_21_13_66","Potassium Chloride","Pr_15_21_13"
"Pr_15_21_13_81","Sodium Acetate","Pr_15_21_13"
"Pr_15_21_13_82","Sodium Chloride","Pr_15_21_13"
"Pr_15_31","Formless Preparatory Products","Pr_15"
"Pr_15_31_04","Applied Cleaning And Repair Treatments","Pr_15_31"
"Pr_15_31_04_06","Biocidal Cleaning Solutions","Pr_15_31_04"
"Pr_15_31_04_12","Chemical Poultices","Pr_15_31_04"
"Pr_15_31_04_13","Cleaning Agents","Pr_15_31_04"
"Pr_15_31_04_14","Concrete Surface Retarders","Pr_15_31_04"
"Pr_15_31_04_15","Concrete Treatment Surface And Injection Chemicals","Pr_15_31_04"
"Pr_15_31_04_20","Curing Compounds","Pr_15_31_04"
"Pr_15_31_04_34","Graffiti-Removing Chemicals","Pr_15_31_04"
"Pr_15_31_04_53","Mould Removers","Pr_15_31_04"
"Pr_15_31_04_60","Paint Strippers","Pr_15_31_04"
"Pr_15_31_04_64","Plain Poultices","Pr_15_31_04"
"Pr_15_31_04_77","Shampoos ","Pr_15_31_04"
"Pr_15_31_04_81","Solvents","Pr_15_31_04"
"Pr_15_31_04_84","Spot-Removing Chemicals","Pr_15_31_04"
"Pr_15_31_04_85","Sugar Soaps","Pr_15_31_04"
"Pr_15_31_04_86","Surface Cleaners","Pr_15_31_04"
"Pr_15_31_12","Chemical Soil Stabilisers","Pr_15_31"
"Pr_15_31_12_42","Injectable Resinous Soils Stabilisers","Pr_15_31_12"
"Pr_15_31_13","Chlorides And Acetates","Pr_15_31"
"Pr_15_31_26","Earth And Fill Materials","Pr_15_31"
"Pr_15_31_26_07","Bentonite","Pr_15_31_26"
"Pr_15_31_26_13","Chalk","Pr_15_31_26"
"Pr_15_31_26_14","Clays","Pr_15_31_26"
"Pr_15_31_26_15","Coarse No Fines Rubble Fill Materials","Pr_15_31_26"
"Pr_15_31_26_26","Earths","Pr_15_31_26"
"Pr_15_31_26_33","Graded Granular Fill Materials","Pr_15_31_26"
"Pr_15_31_26_34","Graded Natural Granular Fill Materials","Pr_15_31_26"
"Pr_15_31_26_35","Graded Recycled Granular Fill Materials","Pr_15_31_26"
"Pr_15_31_26_36","Hardcores","Pr_15_31_26"
"Pr_15_31_26_37","Highways Agency Unbound Mixtures Type 1","Pr_15_31_26"
"Pr_15_31_26_38","Highways Agency Unbound Mixtures Type 2","Pr_15_31_26"
"Pr_15_31_26_39","Highways Agency Unbound Mixtures Type 3","Pr_15_31_26"
"Pr_15_31_26_40","Highways Agency Unbound Mixtures Type 4","Pr_15_31_26"
"Pr_15_31_26_41","Hoggins","Pr_15_31_26"
"Pr_15_31_26_46","Landscape Area Fill Materials ","Pr_15_31_26"
"Pr_15_57","Non-Rigid Sheet, Mat And Strip Preparatory Products","Pr_15"
"Pr_15_57_33","Geosynthetics","Pr_15_57"
"Pr_15_57_33_06","Bentonite Clay Liners","Pr_15_57_33"
"Pr_15_57_33_07","Biodegradable Flax Geotextiles","Pr_15_57_33"
"Pr_15_57_33_08","Bituminous Felt Geotextiles","Pr_15_57_33"
"Pr_15_57_33_09","Butyl Rubber Geomembranes","Pr_15_57_33"
"Pr_15_57_33_12","Chlorinated Polyethylene (PE-C) Geomembranes","Pr_15_57_33"
"Pr_15_57_33_13","Chlorosulfonated Polyethylene (PE-CS) Geomembranes","Pr_15_57_33"
"Pr_15_57_33_27","Ethylene Propylene Diene Monomer (EPDM) Geomembranes","Pr_15_57_33"
"Pr_15_57_33_30","Foamed Aminoplastic Resin Moisture Retention Mats","Pr_15_57_33"
"Pr_15_57_33_31","Geocomposite Drainage Sheets","Pr_15_57_33"
"Pr_15_57_33_32","Geocomposite Gas Venting Layers","Pr_15_57_33"
"Pr_15_57_33_33","Geocomposite Membranes","Pr_15_57_33"
"Pr_15_57_33_34","Geocomposite Studded Sheets","Pr_15_57_33"
"Pr_15_57_33_35","Geomats","Pr_15_57_33"
"Pr_15_57_33_36","Geonets","Pr_15_57_33"
"Pr_15_57_33_37","Geosynthetic Clay Liners (GCLs)","Pr_15_57_33"
"Pr_15_57_33_38","Glass Fibre Tissue Geotextiles","Pr_15_57_33"
"Pr_15_57_33_39","High-Density Polyethylene (PE-HD) Geogrids","Pr_15_57_33"
"Pr_15_57_33_40","High-Density Polyethylene (PE-HD) Geomembranes","Pr_15_57_33"
"Pr_15_57_33_44","Jute Geotextiles","Pr_15_57_33"
"Pr_15_57_33_47","Low-Density Polyethylene (PE-LD) Geomembranes","Pr_15_57_33"
"Pr_15_57_33_56","Needle-Punched Nonwoven Geotextiles","Pr_15_57_33"
"Pr_15_57_33_57","Plastics Geocellular Drainage Mats","Pr_15_57_33"
"Pr_15_57_33_58","Polyacrylonitrile (PAN) Water Retention Geotextiles","Pr_15_57_33"
"Pr_15_57_33_59","Polyamide Water Retention Geotextiles","Pr_15_57_33"
"Pr_15_57_33_60","Polyester (PET) Filter Geotextiles","Pr_15_57_33"
"Pr_15_57_33_61","Polyester (PET) Geocells","Pr_15_57_33"
"Pr_15_57_33_62","Polyester (PET) Geogrids","Pr_15_57_33"
"Pr_15_57_33_63","Polyethylene (PE) Filter Geotextiles","Pr_15_57_33"
"Pr_15_57_33_64","Polyethylene (PE) Geocells","Pr_15_57_33"
"Pr_15_57_33_65","Polypropylene (PP) Filter Geotextiles","Pr_15_57_33"
"Pr_15_57_33_66","Polypropylene (PP) Geocells","Pr_15_57_33"
"Pr_15_57_33_67","Polypropylene (PP) Geomembranes","Pr_15_57_33"
"Pr_15_57_33_68","Polypropylene (PP) Water Retention Geotextiles","Pr_15_57_33"
"Pr_15_57_33_69","Polyvinylidene Fluoride (PVDF) Hydrophilic Geotextiles","Pr_15_57_33"
"Pr_15_57_33_70","Polyvinylidene Fluoride (PVDF) Hydrophobic Geomembranes","Pr_15_57_33"
"Pr_15_57_33_85","Spun-Bonded Polypropylene (PP) Weed Suppression Membranes","Pr_15_57_33"
"Pr_15_57_33_88","Thermally-Bonded Nonwoven Geotextiles","Pr_15_57_33"
"Pr_15_57_33_97","Woven Polypropylene (PP) Weed Suppression Membranes","Pr_15_57_33"
"Pr_15_71","Rigid Board, Panel And Sheet Preparatory Products","Pr_15"
"Pr_15_71_90","Trench Boards And Sheets","Pr_15_71"
"Pr_15_71_90_90","Trench Boards","Pr_15_71_90"
"Pr_15_71_90_91","Trench Sheets","Pr_15_71_90"
"Pr_15_93","Unit Preparatory Products","Pr_15"
"Pr_15_93_30","Fill Blocks","Pr_15_93"
"Pr_15_93_30_28","Expanded Polystyrene (EPS) Fill Blocks","Pr_15_93_30"
"Pr_20","Structure And General Products","Pr"
"Pr_20_29","Fastener Products","Pr_20"
"Pr_20_29_03","Anchors And Components","Pr_20_29"
"Pr_20_29_03_04","Anchor Blocks","Pr_20_29_03"
"Pr_20_29_03_05","Anchor Rails","Pr_20_29_03"
"Pr_20_29_03_11","Carbon Steel Chemical Anchor Rods","Pr_20_29_03"
"Pr_20_29_03_12","Carbon Steel Chemical Anchor Sockets","Pr_20_29_03"
"Pr_20_29_03_13","Carbon Steel Post Base Plates","Pr_20_29_03"
"Pr_20_29_03_14","Carbon Steel Post Spikes","Pr_20_29_03"
"Pr_20_29_03_15","Cavity Anchors","Pr_20_29_03"
"Pr_20_29_03_16","Chemical Anchor Capsules","Pr_20_29_03"
"Pr_20_29_03_17","Chemical Anchor Cartridges ","Pr_20_29_03"
"Pr_20_29_03_28","Expansion Anchors","Pr_20_29_03"
"Pr_20_29_03_31","Framing Anchors","Pr_20_29_03"
"Pr_20_29_03_32","Framing Fasteners","Pr_20_29_03"
"Pr_20_29_03_33","Ground Anchor Heads","Pr_20_29_03"
"Pr_20_29_03_34","Ground Plate Anchors","Pr_20_29_03"
"Pr_20_29_03_35","Grouted Ground Anchors","Pr_20_29_03"
"Pr_20_29_03_36","Hammer-In Fasteners","Pr_20_29_03"
"Pr_20_29_03_44","J-Pins","Pr_20_29_03"
"Pr_20_29_03_66","Prestressing Anchors","Pr_20_29_03"
"Pr_20_29_03_72","Rock Bolts","Pr_20_29_03"
"Pr_20_29_03_73","Rock Anchors","Pr_20_29_03"
"Pr_20_29_03_79","Socket Anchors","Pr_20_29_03"
"Pr_20_29_03_80","Solar Module Roof Anchors","Pr_20_29_03"
"Pr_20_29_03_81","Sprayed Concrete Anchor Studs","Pr_20_29_03"
"Pr_20_29_03_82","Sprayed Concrete Ties","Pr_20_29_03"
"Pr_20_29_03_83","Stainless Steel Chemical Anchor Rods","Pr_20_29_03"
"Pr_20_29_03_84","Stainless Steel Chemical Anchor Sockets","Pr_20_29_03"
"Pr_20_29_03_85","Stainless Steel Glass Block Panel Anchors","Pr_20_29_03"
"Pr_20_29_03_86","Structural Anchors","Pr_20_29_03"
"Pr_20_29_03_88","Threaded Anchors","Pr_20_29_03"
"Pr_20_29_03_92","Undercut Anchors","Pr_20_29_03"
"Pr_20_29_03_97","Wedge Anchors","Pr_20_29_03"
"Pr_20_29_06","Bearings","Pr_20_29"
"Pr_20_29_06_29","Flexure Bearings","Pr_20_29_06"
"Pr_20_29_06_30","Fluid Linear Bearings","Pr_20_29_06"
"Pr_20_29_06_31","Fluid Rotating Bearings","Pr_20_29_06"
"Pr_20_29_06_44","Jewel Bearings","Pr_20_29_06"
"Pr_20_29_06_46","Linear Ball Bearings","Pr_20_29_06"
"Pr_20_29_06_47","Linear Rod Bearings","Pr_20_29_06"
"Pr_20_29_06_50","Magnetic Linear Bearings","Pr_20_29_06"
"Pr_20_29_06_51","Magnetic Rotating Bearings","Pr_20_29_06"
"Pr_20_29_06_62","Plain Linear Bearings","Pr_20_29_06"
"Pr_20_29_06_63","Plain Rotating Bearings","Pr_20_29_06"
"Pr_20_29_06_71","Rotating Ball Bearings","Pr_20_29_06"
"Pr_20_29_06_72","Rotating Rod Bearings","Pr_20_29_06"
"Pr_20_29_06_73","Rotating Thrust Ball Bearings","Pr_20_29_06"
"Pr_20_29_06_74","Rotating Thrust Rod Bearings","Pr_20_29_06"
"Pr_20_29_08","Bolts","Pr_20_29"
"Pr_20_29_08_04","Anchor Bolts","Pr_20_29_08"
"Pr_20_29_08_08","Bolt Boxes","Pr_20_29_08"
"Pr_20_29_08_11","Carriage (coach) Bolts","Pr_20_29_08"
"Pr_20_29_08_26","Elevator Bolts","Pr_20_29_08"
"Pr_20_29_08_27","Eye Bolts","Pr_20_29_08"
"Pr_20_29_08_28","Expanding Bolts","Pr_20_29_08"
"Pr_20_29_08_35","Gutter Bolts ","Pr_20_29_08"
"Pr_20_29_08_36","Hanger Bolts","Pr_20_29_08"
"Pr_20_29_08_37","Hex Bolts","Pr_20_29_08"
"Pr_20_29_08_38","Holding Down Bolt Assemblies","Pr_20_29_08"
"Pr_20_29_08_42","Indented Bolts","Pr_20_29_08"
"Pr_20_29_08_44","J-Bolts (hook Bolts)","Pr_20_29_08"
"Pr_20_29_08_46","Lag Bolts","Pr_20_29_08"
"Pr_20_29_08_66","Preloaded Bolt Assemblies","Pr_20_29_08"
"Pr_20_29_08_76","Sex Bolts And Mating Screws","Pr_20_29_08"
"Pr_20_29_08_78","Shoulder Bolts","Pr_20_29_08"
"Pr_20_29_08_92","U-Bolts","Pr_20_29_08"
"Pr_20_29_14","Clips And Clamps","Pr_20_29"
"Pr_20_29_14_13","Circlips","Pr_20_29_14"
"Pr_20_29_14_16","Colour Pipe Clips","Pr_20_29_14"
"Pr_20_29_14_22","Deck Board Clips","Pr_20_29_14"
"Pr_20_29_14_24","Drainage Pipe Clips","Pr_20_29_14"
"Pr_20_29_14_28","Earthing And Bonding Clamps","Pr_20_29_14"
"Pr_20_29_14_30","Fence Panel Clips","Pr_20_29_14"
"Pr_20_29_14_31","Floor Clips","Pr_20_29_14"
"Pr_20_29_14_32","Frame Clamps","Pr_20_29_14"
"Pr_20_29_14_33","Glass Clamps","Pr_20_29_14"
"Pr_20_29_14_34","Glass-To-Glass Clips","Pr_20_29_14"
"Pr_20_29_14_35","Glass-To-Wall Clips","Pr_20_29_14"
"Pr_20_29_14_43","Insulation Saddle Clips","Pr_20_29_14"
"Pr_20_29_14_45","Lift-Off Panel Clips","Pr_20_29_14"
"Pr_20_29_14_46","Lightning Protection Conductor Clamps","Pr_20_29_14"
"Pr_20_29_14_47","Lightning Protection Conductor Metallic Direct Contact Clips","Pr_20_29_14"
"Pr_20_29_14_48","Lightning Protection Conductor Non-Metallic Direct Contact Clips","Pr_20_29_14"
"Pr_20_29_14_50","Masonry Clamps","Pr_20_29_14"
"Pr_20_29_14_52","Metal Cladding Solar Module Clamps","Pr_20_29_14"
"Pr_20_29_14_68","Push-Fit Panel Clips","Pr_20_29_14"
"Pr_20_29_14_71","Roofing Clamping Plates","Pr_20_29_14"
"Pr_20_29_14_72","Roofing Clamps","Pr_20_29_14"
"Pr_20_29_14_76","Security Glazing Clips","Pr_20_29_14"
"Pr_20_29_14_82","Spring Clips","Pr_20_29_14"
"Pr_20_29_14_84","Standing Seam Fixed Clips","Pr_20_29_14"
"Pr_20_29_14_85","Standing Seam Sliding Clips","Pr_20_29_14"
"Pr_20_29_14_86","Suspended Ceiling Clips","Pr_20_29_14"
"Pr_20_29_14_90","Truss Clips","Pr_20_29_14"
"Pr_20_29_23","Dowels And Rods","Pr_20_29"
"Pr_20_29_23_11","Carbon Steel Dowel Bars","Pr_20_29_23"
"Pr_20_29_23_12","Carbon Steel Rods","Pr_20_29_23"
"Pr_20_29_23_22","Dowel Bar Caps","Pr_20_29_23"
"Pr_20_29_23_23","Dowel-Retaining Fasteners","Pr_20_29_23"
"Pr_20_29_23_30","Fibre-Reinforced Plastics Dowels","Pr_20_29_23"
"Pr_20_29_23_36","Hardwood Dowels","Pr_20_29_23"
"Pr_20_29_23_37","Hardwood Pegs","Pr_20_29_23"
"Pr_20_29_23_40","Hot Welding Rods","Pr_20_29_23"
"Pr_20_29_23_50","Masonry Dowels","Pr_20_29_23"
"Pr_20_29_23_57","Nylon Studding","Pr_20_29_23"
"Pr_20_29_23_80","Softwood Dowels","Pr_20_29_23"
"Pr_20_29_23_81","Softwood Pegs","Pr_20_29_23"
"Pr_20_29_23_83","Stainless Steel Dowel Bars","Pr_20_29_23"
"Pr_20_29_23_84","Stainless Steel Rods","Pr_20_29_23"
"Pr_20_29_23_92","U-Pins","Pr_20_29_23"
"Pr_20_29_29","Ferrules And Sleeves","Pr_20_29"
"Pr_20_29_29_23","Dowel Bar Sleeves","Pr_20_29_29"
"Pr_20_29_29_62","Plastics Pile Sleeves","Pr_20_29_29"
"Pr_20_29_29_63","Plastics Preformed Liners","Pr_20_29_29"
"Pr_20_29_29_66","Pre-Stressed Reinforcement Cable Conduits","Pr_20_29_29"
"Pr_20_29_29_84","Spacer Sleeves","Pr_20_29_29"
"Pr_20_29_29_96","Wire-Crimp Ferrules","Pr_20_29_29"
"Pr_20_29_30","Fixing Lugs","Pr_20_29"
"Pr_20_29_30_11","Cable Fixing Lugs","Pr_20_29_30"
"Pr_20_29_30_24","Door Fixing Lugs","Pr_20_29_30"
"Pr_20_29_30_31","Furniture Floor Fixing Lugs","Pr_20_29_30"
"Pr_20_29_30_32","Furniture Wall Fixing Lugs","Pr_20_29_30"
"Pr_20_29_30_96","Window Fixing Lugs","Pr_20_29_30"
"Pr_20_29_31","Flat And Folded Plate Fasteners","Pr_20_29"
"Pr_20_29_31_08","Bolted Joint Connectors","Pr_20_29_31"
"Pr_20_29_31_12","Carbon Steel Nailing Plates","Pr_20_29_31"
"Pr_20_29_31_13","Carbon Steel Punched Metal Plate Fasteners","Pr_20_29_31"
"Pr_20_29_31_44","Joist Hangers","Pr_20_29_31"
"Pr_20_29_31_84","Stainless Steel Nailing Plates","Pr_20_29_31"
"Pr_20_29_31_85","Stainless Steel Punched Metal Plate Fasteners","Pr_20_29_31"
"Pr_20_29_34","Glass Fixing Plates","Pr_20_29"
"Pr_20_29_34_34","Glass Fin Splice Plates","Pr_20_29_34"
"Pr_20_29_34_35","Glass Fixing Patch Plates","Pr_20_29_34"
"Pr_20_29_56","Nails","Pr_20_29"
"Pr_20_29_56_03","Annular Nails","Pr_20_29_56"
"Pr_20_29_56_14","Clout Head Nails","Pr_20_29_56"
"Pr_20_29_56_16","Corrugated Fasteners","Pr_20_29_56"
"Pr_20_29_56_19","Cut Clasp Nails","Pr_20_29_56"
"Pr_20_29_56_20","Cut Floor Brads","Pr_20_29_56"
"Pr_20_29_56_36","Hardboard Nails","Pr_20_29_56"
"Pr_20_29_56_48","Lost Head (round) Nails","Pr_20_29_56"
"Pr_20_29_56_50","Masonry Nails","Pr_20_29_56"
"Pr_20_29_56_59","Oval Wire Nails","Pr_20_29_56"
"Pr_20_29_56_60","Panel Pins","Pr_20_29_56"
"Pr_20_29_56_73","Round Wire Nails","Pr_20_29_56"
"Pr_20_29_56_82","Sprigs","Pr_20_29_56"
"Pr_20_29_56_83","Spring-Head Roofing Nails","Pr_20_29_56"
"Pr_20_29_56_84","Square Twisted Nails","Pr_20_29_56"
"Pr_20_29_56_85","Staples","Pr_20_29_56"
"Pr_20_29_56_87","Tacks","Pr_20_29_56"
"Pr_20_29_56_93","Upholstery Nails","Pr_20_29_56"
"Pr_20_29_57_01","Acorn Nuts","Pr_20_29_57"
"Pr_20_29_57_02","Aerotite Nuts","Pr_20_29_57"
"Pr_20_29_57_11","Cage Nuts","Pr_20_29_57"
"Pr_20_29_57_12","Captive Nuts","Pr_20_29_57"
"Pr_20_29_57_13","Castle Nuts","Pr_20_29_57"
"Pr_20_29_57_23","Dome (cap) Nuts","Pr_20_29_57"
"Pr_20_29_57_30","Flange Nuts","Pr_20_29_57"
"Pr_20_29_57_36","Half Nuts","Pr_20_29_57"
"Pr_20_29_57_37","Heavy Hex Nuts","Pr_20_29_57"
"Pr_20_29_57_38","Hex Nuts","Pr_20_29_57"
"Pr_20_29_57_44","Jam Nuts","Pr_20_29_57"
"Pr_20_29_57_45","K-Lock Nuts","Pr_20_29_57"
"Pr_20_29_57_50","Manifold Nuts","Pr_20_29_57"
"Pr_20_29_57_56","Nylon-Insert Jam Nuts","Pr_20_29_57"
"Pr_20_29_57_57","Nylon-Insert Lock Nuts","Pr_20_29_57"
"Pr_20_29_57_66","Prevailing Torque Lock Nuts","Pr_20_29_57"
"Pr_20_29_57_76","Serrated Flange Nuts","Pr_20_29_57"
"Pr_20_29_57_80","Slotted Nuts","Pr_20_29_57"
"Pr_20_29_57_83","Square Nuts","Pr_20_29_57"
"Pr_20_29_57_84","Stover Nuts","Pr_20_29_57"
"Pr_20_29_57_85","Stud Connector (coupling) Nuts","Pr_20_29_57"
"Pr_20_29_57_88","Tee Nuts","Pr_20_29_57"
"Pr_20_29_57_96","Wing Nuts","Pr_20_29_57"
"Pr_20_29_60","Packings And Spacers","Pr_20_29"
"Pr_20_29_60_30","Flat Jacks","Pr_20_29_60"
"Pr_20_29_60_31","Formwork Cover Spacers","Pr_20_29_60"
"Pr_20_29_60_36","Hardwood Packs","Pr_20_29_60"
"Pr_20_29_60_37","Hardwood Wedges","Pr_20_29_60"
"Pr_20_29_60_60","Packings","Pr_20_29_60"
"Pr_20_29_60_77","Shims And Folding Wedges","Pr_20_29_60"
"Pr_20_29_60_81","Softwood Packs","Pr_20_29_60"
"Pr_20_29_60_82","Softwood Wedges","Pr_20_29_60"
"Pr_20_29_63","Plugs","Pr_20_29"
"Pr_20_29_63_50","Masonry Plugs","Pr_20_29_63"
"Pr_20_29_63_63","Plastics Plugs","Pr_20_29_63"
"Pr_20_29_63_84","Studded Cavity Drainage Membrane Plugs","Pr_20_29_63"
"Pr_20_29_63_85","Surface Plugs And Pellets","Pr_20_29_63"
"Pr_20_29_71","Rivets","Pr_20_29"
"Pr_20_29_71_08","Blind (pop) Rivets","Pr_20_29_71"
"Pr_20_29_71_24","Drive Rivets","Pr_20_29_71"
"Pr_20_29_71_30","Flush Rivets","Pr_20_29_71"
"Pr_20_29_71_31","Friction-Lock Rivets","Pr_20_29_71"
"Pr_20_29_71_59","Oscar Rivets","Pr_20_29_71"
"Pr_20_29_71_76","Self-Pierce Rivets","Pr_20_29_71"
"Pr_20_29_71_77","Semi-Tubular Rivets","Pr_20_29_71"
"Pr_20_29_71_81","Solid Rivets","Pr_20_29_71"
"Pr_20_29_76","Screws","Pr_20_29"
"Pr_20_29_76_28","Eye Lags","Pr_20_29_76"
"Pr_20_29_76_50","Machine Screws","Pr_20_29_76"
"Pr_20_29_76_76","Self-Drilling Sheet Metal Screws","Pr_20_29_76"
"Pr_20_29_76_77","Set Screws","Pr_20_29_76"
"Pr_20_29_76_78","Sheet Metal Screws","Pr_20_29_76"
"Pr_20_29_76_81","Socket Screws","Pr_20_29_76"
"Pr_20_29_76_88","Thread-Cutting Machine Screws","Pr_20_29_76"
"Pr_20_29_76_98","Wood Screws","Pr_20_29_76"
"Pr_20_29_81","Soil Nails","Pr_20_29"
"Pr_20_29_81_11","Carbon Steel Soil Nails","Pr_20_29_81"
"Pr_20_29_81_63","Plastics Soil Nails","Pr_20_29_81"
"Pr_20_29_81_84","Stainless Steel Soil Nails","Pr_20_29_81"
"Pr_20_29_87","Thatch Roofing Fasteners","Pr_20_29"
"Pr_20_29_87_36","Hazel Staples","Pr_20_29_87"
"Pr_20_29_87_37","Hazel Sways","Pr_20_29_87"
"Pr_20_29_87_52","Metal Sways","Pr_20_29_87"
"Pr_20_29_87_87","Thatching Hooks","Pr_20_29_87"
"Pr_20_29_87_96","Willow Sways","Pr_20_29_87"
"Pr_20_29_88","Tile And Fabric Roofing Fasteners","Pr_20_29"
"Pr_20_29_88_31","Forked Roofing Connectors","Pr_20_29_88"
"Pr_20_29_88_37","Hip Irons","Pr_20_29_88"
"Pr_20_29_88_42","Insulation Fixing Spikes","Pr_20_29_88"
"Pr_20_29_88_59","Overlay Fasteners","Pr_20_29_88"
"Pr_20_29_88_73","Roofing Corner Plates","Pr_20_29_88"
"Pr_20_29_96","Washers","Pr_20_29"
"Pr_20_29_96_17","Crinkle Washers","Pr_20_29_96"
"Pr_20_29_96_20","Cup (finishing) Washers","Pr_20_29_96"
"Pr_20_29_96_28","External Tooth Lock (shake-proof) Washers","Pr_20_29_96"
"Pr_20_29_96_29","Fender Washers","Pr_20_29_96"
"Pr_20_29_96_30","Fibre Washers","Pr_20_29_96"
"Pr_20_29_96_31","Flat Washers","Pr_20_29_96"
"Pr_20_29_96_42","Internal Tooth Lock (shake-proof) Washers","Pr_20_29_96"
"Pr_20_29_96_58","Ogee Washers","Pr_20_29_96"
"Pr_20_29_96_59","Open Push-On Retainers","Pr_20_29_96"
"Pr_20_29_96_61","Penny (dock) Washers","Pr_20_29_96"
"Pr_20_29_96_63","Plate (square) Washers","Pr_20_29_96"
"Pr_20_29_96_76","Sealing Washers","Pr_20_29_96"
"Pr_20_29_96_84","Sprung (split Lock) Washers","Pr_20_29_96"
"Pr_20_29_97","Welding Joint Fillers","Pr_20_29"
"Pr_20_29_97_09","Brazing Joint Fillers","Pr_20_29_97"
"Pr_20_29_97_26","Electric Welding Joint Fillers","Pr_20_29_97"
"Pr_20_29_97_33","Gas Welding Joint Fillers","Pr_20_29_97"
"Pr_20_29_97_81","Soldering Joint Fillers","Pr_20_29_97"
"Pr_20_29- 57","Nuts","Pr_20_29-"
"Pr_20_31","Formless Structure And General Products","Pr_20"
"Pr_20_31_02","Adhesives And Bonding Compounds","Pr_20_31"
"Pr_20_31_02_02","Acrylic Anaerobic Adhesives","Pr_20_31_02"
"Pr_20_31_02_03","Acrylic And Methacrylate Adhesives","Pr_20_31_02"
"Pr_20_31_02_04","All-Purpose Pastes","Pr_20_31_02"
"Pr_20_31_02_06","Bio-Resin Adhesives","Pr_20_31_02"
"Pr_20_31_02_07","Bitumen Bonding Compounds","Pr_20_31_02"
"Pr_20_31_02_08","Bitumen-Based Bonding Compounds","Pr_20_31_02"
"Pr_20_31_02_09","Bitumen Rubber Emulsion Adhesives","Pr_20_31_02"
"Pr_20_31_02_11","Casein Adhesives","Pr_20_31_02"
"Pr_20_31_02_12","Cementitious Adhesives","Pr_20_31_02"
"Pr_20_31_02_15","Cold-Applied Bitumen Bonding Compounds","Pr_20_31_02"
"Pr_20_31_02_16","Cementitious Bonding Compounds","Pr_20_31_02"
